Header,Column1,Match Match,Red Alliance Red Alliance Blue Alliance,Red Alliance Red Alliance Blue Alliance2,Red Alliance Red Alliance Blue Alliance3,Red Alliance Red Alliance Blue Alliance4,Red Alliance Red Alliance Blue Alliance5,Red Alliance Red Alliance Blue Alliance6,Blue Alliance Red Alliance Blue Alliance,Blue Alliance Red Alliance Blue Alliance2,Blue Alliance Red Alliance Blue Alliance3,Blue Alliance Red Alliance Blue Alliance4,Blue Alliance Red Alliance Blue Alliance5,Blue Alliance Red Alliance Blue Alliance6,Scores Red Score Blue Score,Scores Red Score Blue Score2
Qualifications,,Quals 38,5948,5948,5948,5948,7725,7725,7725,7725,6348,6348,6348,6348,33,33
Qualifications,,Quals 39,4775,4775,8741,8741,5716,5716,4635,4635,3794,3794,5932,5932,27,63
Qualifications,,Quals 39,4775,4775,4775,4775,8741,8741,8741,8741,5716,5716,5716,5716,27,27
Qualifications,,Quals 39,4635,4635,4635,4635,3794,3794,3794,3794,5932,5932,5932,5932,63,63
Qualifications,,Quals 40,7421,7421,3933,3933,5696,5696,3472,3472,5887,5887,2283,2283,53,21
Qualifications,,Quals 40,7421,7421,7421,7421,3933,3933,3933,3933,5696,5696,5696,5696,53,53
Qualifications,,Quals 40,3472,3472,3472,3472,5887,5887,5887,5887,2283,2283,2283,2283,21,21
Qualifications,,Quals 41,6702,6702,4782,4782,3354,3354,8293,8293,4403,4403,6832,6832,34,14
Qualifications,,Quals 41,6702,6702,6702,6702,4782,4782,4782,4782,3354,3354,3354,3354,34,34
Qualifications,,Quals 41,8293,8293,8293,8293,4403,4403,4403,4403,6832,6832,6832,6832,14,14
Qualifications,,Quals 42,7725,7725,4371,4371,6694,6694,6017,6017,6606,6606,6106,6106,28,2
Qualifications,,Quals 42,7725,7725,7725,7725,4371,4371,4371,4371,6694,6694,6694,6694,28,28
Qualifications,,Quals 42,6017,6017,6017,6017,6606,6606,6606,6606,6106,6106,6106,6106,2,2
Qualifications,,Quals 43,3478,3478,5932,5932,5716,5716,8244,8244,6170,6170,4723,4723,26,8
Qualifications,,Quals 43,3478,3478,3478,3478,5932,5932,5932,5932,5716,5716,5716,5716,26,26
Qualifications,,Quals 43,8244,8244,8244,8244,6170,6170,6170,6170,4723,4723,4723,4723,8,8
Qualifications,,Quals 44,3472,3472,4731,4731,8734,8734,5959,5959,3510,3510,5887,5887,14,12
Qualifications,,Quals 44,3472,3472,3472,3472,4731,4731,4731,4731,8734,8734,8734,8734,14,14
Qualifications,,Quals 44,5959,5959,5959,5959,3510,3510,3510,3510,5887,5887,5887,5887,12,12
Qualifications,,Quals 45,7421,7421,6348,6348,6676,6676,8740,8740,8741,8741,8776,8776,33,6
Qualifications,,Quals 45,7421,7421,7421,7421,6348,6348,6348,6348,6676,6676,6676,6676,33,33
Qualifications,,Quals 45,8740,8740,8740,8740,8741,8741,8741,8741,8776,8776,8776,8776,6,6
Qualifications,,Quals 46,2283,2283,6647,6647,5133,5133,3933,3933,4775,4775,5948,5948,30,26
Qualifications,,Quals 46,2283,2283,2283,2283,6647,6647,6647,6647,5133,5133,5133,5133,30,30
Qualifications,,Quals 46,3933,3933,3933,3933,4775,4775,4775,4775,5948,5948,5948,5948,26,26
