Equipo ,Match,Alianza,Auto_Line,Aut_UP,Aut_DOWN,HP,Tele_DOWN,Tele_UP,EndGame,Defense,Fouls,Off
4010 Nautilus,29,Azul,Si,0,0,0,0,0,2,No,0,0
5948 Lebotics,29,Roja,No,0,0,0,0,0,0,No,4,1
6106 Tecgear,29,Azul,Si,0,0,0,1,0,0,Sí,0,1
8244 CBTech,29,Roja,No,0,0,0,0,0,0,No,4,0
8740 QuantumForce,29,Azul,Si,0,0,0,0,0,0,No,0,0
6017 Cyberius,30,Roja,No,0,0,0,0,0,0,No,0,1
6702 StingBots,30,Roja,Si,1,0,0,2,0,0,No,0,0
8776 NorthernLizards,30,Azul,Si,0,0,0,0,0,0,Sí,4,0
4775 Aztech,31,Roja,Si,0,0,0,7,0,3,No,0,1
6170 Vitronik,31,Azul,Si,0,0,0,0,1,0,No,8,0
6647 Voltec,31,Roja,Si,0,0,0,2,2,2,No,0,0
6676 ThunderHawks,31,Roja,Si,0,0,0,0,0,0,No,8,1
6694 Innobotics,31,Azul,Si,0,0,0,0,4,1,No,8,0
6832 STEAMex,31,Azul,Si,1,0,0,0,0,3,No,0,1
3478 Lambot,32,Roja,Si,2,0,0,0,10,3,No,0,0
3933 Tamankeet,32,Roja,Si,1,0,0,0,5,2,No,0,0
4403 Roult,32,Azul,Si,0,0,0,0,6,0,No,8,0
4723 Earth,32,Roja,Si,0,0,0,0,0,0,Sí,0,0
5696 Faraday,32,Azul,Si,0,0,0,0,3,0,Sí,8,1
8741 Racoons,32,Azul,No,0,0,0,0,0,2,Sí,8,0
2283 Panteras,33,Roja,No,0,0,0,4,0,0,No,0,0
3510 Tectronic,33,Roja,No,0,0,0,0,0,0,Sí,0,1
4635 BotBusters,33,Azul,Si,3,0,0,0,14,4,No,4,0
5932 Quetzales,33,Roja,Si,0,0,0,0,0,0,Sí,0,0
7421 OVERTURE,33,Azul,Si,2,0,0,11,0,0,No,4,0
3354 TecDroid,34,Azul,Si,0,0,0,0,0,0,Sí,0,1
5887 IMPERATOR,34,Azul,No,0,0,0,7,0,2,No,0,0
6348 Horus,34,Roja,Si,0,0,0,0,6,2,No,0,0
6606 PinkHawks,34,Azul,No,0,0,0,0,0,0,No,0,0
8244 CBTech,34,Roja,No,0,0,0,0,0,0,No,0,0
8776 NorthernLizards,34,Roja,No,0,0,00,0,0,0,No,0,0
4782 Borrebots,35,Azul,Si,0,0,0,0,0,0,Sí,0,1
6017 Cyberius,35,Azul,No,0,0,0,0,0,0,No,0,0
6170 Vitronik,35,Roja,Si,0,0,0,1,4,2,No,4,0
6647 Voltec,35,Roja,Si,0,0,0,0,5,0,No,0,0
8734 B.A.T.S.,35,Azul,No,0,0,0,0,0,0,No,0,1
8740 QuantumForce,35,Roja,No,0,0,0,0,0,0,Sí,4,0
3478 Lambot,36,Roja,Si,1,0,0,0,9,3,No,0,0
4371 ArtMX,36,Azul,No,0,0,0,0,0,0,No,0,1
4731 MonarchE,36,Azul,Si,0,0,0,3,0,0,No,0,0
6702 StingBots,36,Azul,Si,0,0,0,0,0,0,No,0,0
6832 STEAMex,36,Roja,Si,0,1,0,0,1,3,No,0,0
4010 Nautilus,37,Roja,Si,0,1,0,0,3,2,No,0,0
4403 Roult,37,Roja,Si,0,0,0,0,0,0,Sí,0,0
5959 TitaniumRams,37,Roja,Si,0,0,0,0,2,2,Sí,0,0
6106 Tecgear,37,Azul,Si,0,0,0,0,0,0,No,4,0
6676 ThunderHawks,37,Azul,Si,0,0,0,0,0,0,No,4,1
8293 WhiteFox,37,Azul,Si,0,0,0,0,0,0,No,4,0
3510 Tectronic,38,Roja,No,0,0,0,0,0,0,No,0,1
4723 Earth,38,Roja,Si,1,0,0,0,3,0,Sí,0,0
5948 Lebotics,38,Azul,Si,0,0,0,0,1,0,No,0,0
6348 Horus,38,Azul,Si,0,0,0,0,5,2,No,0,0
6694 Innobotics,38,Roja,Si,1,0,1,0,2,2,No,0,0
7725 Nuts&volts,38,Azul,No,0,0,0,0,0,0,No,0,0
3794 WinT,39,Azul,Si,0,0,0,0,0,0,Sí,4,0
4635 BotBusters,39,Azul,Si,2,0,0,0,18,4,No,4,0
4775 Aztech,39,Roja,Si,0,0,0,6,0,2,No,0,0
5716 Keybot,39,Roja,No,0,1,0,0,0,1,No,4,0
5932 Quetzales,39,Azul,Si,0,0,0,0,0,0,No,0,1
8741 Racoons,39,Roja,Si,0,0,1,0,0,0,Sí,0,0
2283 Panteras,40,Azul,No,0,0,0,0,0,0,No,8,1
3472 Buluk,40,Azul,Si,0,0,0,0,0,0,No,8,1
3933 Tamankeet,40,Roja,Si,1,0,0,0,3,2,No,0,0
